run,lumi,evt
316590,440,596740443
316590,462,623472917
316613,79,30523443
316613,88,37060263
316700,287,367013163
316700,319,408936785
316702,158,221794466
316702,173,241343676
316702,250,347731243
316702,291,418519542
316702,299,432755837
316758,117,159796205
316758,150,208465654
316758,301,420144082
316758,412,561728908
316758,412,562312723
316758,415,565372136
316758,416,567360845
316758,421,573592104
316758,436,591212089
316758,438,593835232
316758,440,596541673
316758,467,629899129
316758,467,629464368
316758,468,630794271
316758,499,667679470
316758,504,674178300
316758,519,693769177
316758,523,699421024
316758,539,725243618
316758,540,728252409
316758,544,735007366
316758,554,749866446
316758,577,788292732
316758,581,794754708
316758,613,846096232
316758,977,1394797287
316758,980,1399457730
316758,989,1411809963
316758,1027,1465451904
316240,87,124998172
315642,70,85205363
315642,75,90559834
315645,182,189712902
315645,208,215690089
315645,208,214957362
315645,226,233154745
315645,227,233334094
315645,228,234857082
315703,149,166401874
315703,153,171299883
315703,157,175352366
315703,175,195305146
315703,213,233686223
315703,214,234658676
315713,84,90729524
315713,144,182565451
315713,1087,1243778833
315973,684,793980071
315973,684,793044608
315973,701,810756192
315973,710,819102772
315973,711,820343180
316114,206,227013432
316114,210,231401676
316114,956,964261536
316114,1002,1015494903
316187,655,877164854
316187,934,1275218815
316469,324,409982547
316569,1716,2362785960
316569,1743,2408215385
316615,22,13705275
316615,24,15542105
316928,179,222242439
315366,429,240772533
315488,103,80045572
315489,117,70920895
315489,181,108192856
315489,182,108454509
315489,194,115424516
315489,272,159072125
315489,311,180185606
315489,318,184157141
315489,413,234225016
315489,523,289926765
315689,391,453178278
315689,438,504900340
315689,457,524707604
315785,229,287111633
315785,294,357877655
315790,567,374588362
315840,78,64442270
316240,144,208673466
316240,164,234704651
316240,258,363929850
316240,264,371696561
316240,494,668344774
316240,494,667645493
316240,606,843667849
316240,614,856524134
316240,665,929545118
316457,407,460061591
316457,855,989611094
316457,961,1108158883
316457,1110,1262728951
316469,58,59998701
316469,125,151363991
316469,231,294883777
316469,266,337409434
316469,267,338842888
316469,278,352257616
316469,325,411093503
316505,225,261381890
316505,225,261331804
315361,129,99574640
315361,429,365826800
315361,575,475019101
315366,171,102916945
315366,172,103574314
315366,216,128519582
315366,315,182623073
315420,69,45164851
315420,1091,706849176
315488,174,159409186
315489,138,83492385
315557,42,49415974
315640,60,31906303
315640,68,41164578
315640,68,41007584
315705,229,166641558
315705,68,51626408
315705,200,146788658
315973,500,600843704
315973,746,854654987
316199,268,378153050
316199,1116,1549702743
316199,1154,1598783188
316717,55,65664379
316717,102,122218173
316720,148,202275473
316879,21,23816568
315790,51,36646848
315790,153,112257129
316994,6,7220151
315840,81,70036315
315840,87,79200705
315840,103,102107439
315840,117,121559678
315840,129,138980345
315840,131,141513479
315840,187,218579837
315840,187,219680764
315840,214,255066592
316059,162,182726391
316059,178,200209052
316059,263,290244851
316059,291,319715434
316469,26,21320672
316469,29,23470056
316469,33,26587012
316569,228,284077736
316569,834,1133502924
316569,1224,1670492665
316569,1287,1762582406
316569,1287,1762893496
316718,10,15577906
316718,17,26502645
316718,75,117756620
316718,149,230590836
316718,156,241274525
316718,185,282022231
316718,193,293933839
316718,204,307472704
316718,280,415468963
316995,60,73016634
316995,67,81642168
316995,141,197030871
316995,152,214718012
316995,197,289207009
316995,226,336487682
315270,589,469487348
315361,554,460224355
315713,941,1114352200
316202,331,501505989
316569,983,1342821223
316569,1077,1467266228
316569,1045,1424948716
316569,1510,2072962103
316569,1521,2088561144
316590,483,653366963
316590,498,676911547
316590,499,678996590
316613,105,49411055
316666,180,217272144
316666,182,219402125
316666,184,223235443
316666,217,278694098
316666,242,318463696
316666,243,319190132
316666,257,342804452
316700,74,61368847
316700,88,82329087
316716,21,27517615
316716,75,92652788
316716,163,206715894
316719,63,89028967
316719,118,152115688
316758,193,270758212
316758,193,271253626
316667,148,217794486
315322,1310,768623806
315366,122,74447594
315366,124,75486128
315366,585,317166514
315642,84,100988214
315646,20,15100352
315646,20,15294295
315646,43,32246511
315646,43,32232291
315646,768,484091236
315689,1027,1028437389
315689,689,752061789
315705,34,25571968
315713,1122,1273659830
315840,945,1048768826
315973,281,344891935
315973,392,479246123
316059,341,364199233
316059,355,378227438
316187,707,957172974
316187,709,960505360
316202,367,563902350
316239,87,98131812
315361,46,20277579
315361,49,22129081
315646,12,9069485
315646,32,23864083
315703,218,238671585
315705,517,343265672
315713,652,822587196
315713,705,880575747
315785,295,359694426
316110,17,23297568
316110,17,24182041
316153,120,173063232
316199,1010,1404521353
316202,223,318227789
316239,217,272147639
316380,801,646804100
316380,1138,973620615
316380,1139,974676466
316380,1139,974662673
316457,593,690030851
316457,596,693584085
316457,652,760088942
316457,1388,1551405989
315646,229,165274786
315646,243,175225606
316110,24,32666247
316457,47,63766339
316457,49,66143281
316505,297,353329418
316505,1109,1457796835
316505,1312,1732904799
316569,1387,1903259338
316613,218,125747926
316590,392,538590038
316702,4,3623340
316702,58,82738641
316702,100,141825141
316702,264,371616843
316702,386,573554934
316720,40,52219633
316720,101,130672477
316720,137,186097103
316722,190,264162452
316722,205,283025514
316722,555,791366402
316758,1399,2024443803
316879,40,48724851
316995,618,927557012
316199,645,871202301
316199,709,948834504
316199,777,1058065870
316199,826,1135546644
316199,1090,1513847727
316239,348,441836480
316239,382,482540516
316239,382,483242577
316239,399,502694122
316239,415,521984537
316240,126,182025546
316240,192,273655660
316240,288,403040738
316240,593,824014361
316457,95,127459577
316457,107,142066862
316457,213,270366757
316457,246,302807493
316457,388,441830161
316457,419,471730743
316457,463,529425804
316457,497,573658162
316569,1091,1485100036
316569,297,366313321
316569,312,382610036
316569,443,559340652
315800,130,143475160
315800,130,142326175
315800,213,255374919
315800,213,256195525
315800,225,271581268
315800,234,285325749
315800,276,340984359
315800,315,391346157
315800,316,393531976
316380,3,1703917
316380,20,14257291
316380,57,40610297
316380,167,116404631
316380,573,432155753
316380,675,527890472
316758,696,975244623
316758,120,163567116
316758,123,168364501
316758,188,263912155
316758,217,305030453
316758,218,306621196
316758,260,365957075
316758,236,331849396
316758,273,383176532
316758,284,398636102
316758,284,399321545
316758,308,429288421
316985,182,247316181
316985,192,261320055
316985,219,300217019
316985,189,257809001
316985,279,383305973
316985,277,379996075
316985,277,380851763
316985,277,380444864
316985,391,528270169
316995,4,3517709
316995,16,18535451
316995,36,43373081
316995,48,58777053
316995,78,94227967
316995,135,185988962
316995,156,221413689
316995,137,189101181
316995,145,203087195
316995,212,313514269
316995,255,383773438
315361,306,263100695
315361,330,283722194
315361,362,311076408
315361,363,311548055
315361,585,481932938
315361,599,491481999
315721,146,193513064
315721,156,207867117
315721,221,299418636
315800,49,30688746
315800,70,53635454
315800,205,245702011
315713,505,653022215
315785,24,32985115
315713,251,331431302
315713,253,334014065
315713,297,391847793
315713,315,417041443
315713,343,454649798
315713,349,462799999
315713,353,465670434
315713,569,726967287
315973,443,537628145
315973,445,539436204
