run,lumi,evt
316758,1423,2057559277
316758,1456,2102405695
316590,401,549605701
316590,441,597811366
316590,449,608405186
316590,447,605302749
316590,456,615753995
316590,460,621203478
316590,476,640833920
316700,320,409227995
316700,322,412313020
316702,158,221883339
316702,150,211079296
316702,172,239657885
316702,280,399148069
316702,282,403158313
316702,297,429247076
316758,16,21175813
316758,563,764532554
316758,581,794129254
316758,582,797053103
316758,613,846390272
315973,482,580506380
315973,482,580624974
315973,483,582014387
315645,227,233559675
315645,279,282226710
315645,291,293646703
315703,231,252682023
315713,64,59071419
315713,64,60199093
315713,76,77462310
315713,76,76694784
315741,83,89868661
316114,267,289350204
316187,650,870635732
316187,656,879471691
316187,686,925297177
316187,934,1275778904
316218,540,724331326
316218,547,733770774
316218,574,776014255
316218,578,782669573
316615,32,20521018
316615,28,17701008
316615,71,44783242
316615,71,44995420
316928,55,34265799
316928,140,161444466
315366,429,241117342
315488,225,214327545
315489,181,108188175
315489,320,185235215
315489,322,186071315
315689,387,449055954
315689,388,450519150
315689,388,450039265
315689,394,456976211
315689,396,458484685
315689,419,484326516
315689,448,515710461
315689,457,524687109
315785,274,336473403
315973,463,559709432
315840,81,68942891
316240,131,189881740
316240,133,191592056
316240,145,209505637
316240,248,350074420
316240,496,671702251
316240,677,947012091
316457,455,520121088
316457,884,1022369319
316457,963,1109997853
316457,1110,1262293937
316457,1276,1437651702
316469,58,59536738
316469,121,146147994
316469,125,150484227
316505,147,157022090
315361,248,212142301
315366,175,105110744
315366,413,233250745
315420,126,93502377
315420,1077,700119641
315420,1336,819164942
315488,101,77253026
315557,33,38710387
315557,52,61014125
315640,63,34728224
315689,344,400327756
315689,436,502642243
315689,439,505208694
315705,36,27619806
315705,230,167848585
315973,395,483185657
315973,676,786121677
316199,1153,1597803610
316199,1187,1642142644
316199,1194,1651483548
316719,112,144832185
316985,136,180258266
315790,48,34297375
315790,51,36673703
315790,160,117184377
315790,179,130701073
315790,179,130982375
315790,459,312026112
316758,1418,2051096771
316985,62,73903612
315840,91,84572351
315840,139,153353822
315840,153,172510937
315840,159,181025714
316059,122,137774445
316059,122,138105405
316059,162,182244920
316059,202,224991694
316059,295,323715206
316059,380,403646532
316457,1174,1330981394
316469,19,10026606
316469,31,26044497
316469,52,51115690
316569,258,320646710
316569,1210,1648752980
316718,1,85562
316718,17,27361438
316718,75,118190819
316718,157,242756404
316718,169,260881834
316718,169,261093633
316995,81,98436289
316995,260,390898480
315322,809,528447303
315713,355,468268910
315713,816,993596987
315713,942,1114567452
315721,484,616443492
315721,484,616585885
316590,494,670934318
316719,104,133978737
315322,1317,770633981
315366,588,318478730
315366,457,254778905
315488,577,544342831
315644,117,144671345
315646,20,15273520
315689,689,752181130
315703,344,363607230
315786,61,62552543
315801,3,1196930
315801,174,175191724
315801,333,321444996
316059,341,364216032
316082,69,65949998
316239,113,133095976
315361,46,19297104
315506,14,17108760
315646,2,1191032
