run,lumi,evt
317435,632,906746705
317435,1261,1816735473
317383,22,32826009
317392,15,14177142
317392,408,553622451
317392,1350,1918834876
317392,1230,1746486546
317392,1185,1678369951
317392,1388,1971699123
317392,1770,2567096297
317392,1312,1865217450
317392,1852,2684435009
317392,1813,2630460122
317392,1815,2633341740
317392,1749,2534596920
317320,243,326917126
317640,293,391865084
317640,385,532784675
317661,474,682897258
317661,500,719174401
317661,513,741798438
317661,522,756354967
317661,525,760930493
317661,542,789730488
317661,560,820505184
317661,573,841145928
317661,580,851800014
317661,588,864374675
317089,877,1312701912
317089,790,1163317799
317213,2,1981507
317213,9,12343502
317213,25,32866906
317213,116,150239629
317213,156,199002169
317213,174,220975587
317213,185,235132119
317213,194,245220659
317213,204,257998887
317213,205,258393911
317213,216,271377013
317213,239,300531496
317213,252,317316626
317213,257,322576305
317213,258,323495846
317213,260,326047911
317213,264,331711185
317213,278,348666196
317213,284,356505328
317213,290,367176174
317213,300,384241778
317213,314,406527093
317213,316,410741499
317213,316,410810909
317291,241,322428263
317291,243,326343761
317291,273,368387433
317291,273,367473898
317291,226,300962631
317291,226,300894679
317291,372,504652895
317291,532,706155296
317291,315,425364171
317291,325,440114142
317291,364,493778175
317291,330,447153773
317320,121,171731324
317320,146,205102465
317320,184,252603505
317392,119,169196631
317392,89,124943727
317340,52,67663291
317340,45,58685565
317340,74,97805807
317340,129,167687111
317340,58,75685990
317340,99,128296579
317340,208,267487177
317340,227,290450023
317340,246,313443849
317087,92,80357391
317087,58,28582083
317087,63,35861833
317087,109,105423216
317087,124,129437246
317087,686,904283982
317087,691,911609240
317087,709,939033175
317087,728,967864099
317087,734,976943926
317087,737,980432654
317087,744,992052096
317089,487,707813313
317089,376,540889335
317089,426,616898799
317182,287,369722005
317182,149,173047462
317182,175,211970021
317182,1167,1644977992
317320,136,192403059
317320,137,193255038
317320,162,227054324
317320,219,296937392
317320,201,273898536
317320,212,288037566
317320,213,288742691
317320,214,289997146
317320,221,298841282
317591,55,43119600
317392,100,142344482
317392,101,143160669
317392,106,150046623
317392,114,161503547
317392,114,161079573
317392,133,189960119
317392,127,181498507
317392,132,189269062
317435,71,92934805
317435,83,109173371
317435,126,160498748
317435,195,241566152
317435,129,164302916
317435,181,225295522
317435,168,211603817
317435,182,225893526
317435,152,191485828
317435,234,298077561
317435,336,463065094
317435,344,475959223
317435,1074,1553277757
317435,470,665162618
317435,1363,1955924401
317435,419,590058588
317435,1357,1948171729
317438,181,282253570
317438,230,353754563
317484,308,434820502
317484,402,573150652
317484,511,737265344
317484,542,780105348
317488,627,902600391
317488,505,733841116
317488,652,937156574
317488,673,964586535
317488,677,970494950
317488,682,977433608
317392,569,762034318
317392,583,783297160
317392,611,828038090
317640,366,503613593
317640,582,845945536
317641,167,239812088
317641,169,242261854
317641,593,869788804
317641,600,879200630
317641,615,903294495
317641,802,1196834830
317641,1104,1675347188
317641,1354,2005912535
317650,1270,1879024214
317089,75,98068750
317089,147,199601901
317089,569,824697713
317089,305,429045655
317089,766,1120064942
317292,27,38380132
317292,63,95327665
317292,120,182506832
317292,123,187245989
317292,157,236230594
317292,159,239252346
317292,199,298094522
317297,254,350781367
317297,257,354890214
317297,282,388832760
317297,355,555002186
317297,548,866959927
317320,1022,1507626805
317320,1070,1583501520
317320,1080,1599713994
317320,1092,1617270749
317320,1102,1634232789
317320,1115,1654366648
317320,1164,1728373104
317382,93,64274101
317382,94,65929832
317435,192,238551992
317435,228,287919602
317392,651,888015585
317392,672,919923549
317392,722,994388054
317392,740,1022682386
317392,1378,1956806225
317392,1383,1964584281
317392,1335,1898570071
317392,1353,1922937171
317392,1835,2663115581
317392,1883,2722851235
317392,1884,2724265342
317392,1685,2435521976
317435,510,724499522
317435,647,928326070
