run,lumi,evt
320039,12,19221856
320024,308,515815998
320026,122,181329347
320026,128,190058964
320026,151,222569221
319579,201,241461850
319579,43,18966314
319579,922,1360176644
319579,968,1433963309
319526,179,312915679
319526,210,376049880
319658,142,227560324
319658,143,228736594
319658,166,267634077
319658,188,302196095
319678,168,222871034
319678,200,276704897
319678,204,283909350
319678,205,286353691
319678,227,325099337
319698,310,446103008
319853,35,55427403
319853,72,112512832
319853,132,209691653
319991,410,606502555
319991,843,1317389827
320010,171,265399937
320010,254,399470904
320010,263,413567641
320011,15,22480232
320011,28,43724916
320011,45,70952886
320011,46,72603887
320011,66,103479159
320011,89,138374454
320040,531,829692539
320040,534,835870956
320059,3,5007933
319524,823,1211470017
319524,849,1253839658
319524,864,1276186447
319524,873,1291835063
319450,162,240343580
319450,197,296937216
319450,222,336748863
319450,228,346137239
319450,230,349290355
319579,113,114391584
319579,114,115382266
319579,1055,1568267515
319579,1083,1610730737
319579,1651,2553546649
319579,1678,2600664176
319579,1695,2630086666
319579,1717,2668731264
319579,1775,2768623313
319579,1780,2777613742
319579,1799,2809740194
319579,1801,2813285840
319579,1805,2819232609
319579,1832,2863253115
319579,1833,2866166728
319579,1835,2869361035
319579,2975,4509408985
319639,1075,1528460808
319639,1083,1541035339
319639,1101,1572443299
319639,1110,1588153739
319639,1120,1604230935
319639,1126,1614101377
319639,1134,1626585946
319639,1141,1639664803
319639,1167,1682565637
319639,1188,1711533016
319639,1206,1741939115
319639,1207,1743441256
319639,1210,1748570929
319656,307,402429330
319656,308,403382655
319656,68,13455855
319656,69,15334083
319656,74,22745888
319656,105,69816227
319656,158,154082200
319656,165,166718391
319991,73,57771538
319991,104,111919982
319991,191,257702372
319991,242,338910704
319991,318,452745587
319991,436,648539776
319991,510,767534820
319991,510,768099367
319449,419,589475016
319449,451,640787323
319449,375,516885434
319449,390,541642811
319449,402,561525848
319449,428,604475736
319449,464,661374424
319449,536,775792670
319639,51,40536072
319450,252,383959684
319450,301,458409340
319450,319,486978467
319450,429,650961748
319456,310,477363779
319579,633,909931718
319579,644,927250368
319579,650,936524659
319579,670,965241339
319579,689,993396822
319579,701,1009972460
319579,702,1011600203
319579,729,1050376869
319579,736,1060170053
319579,732,1054855462
319579,850,1244581908
319579,883,1297906734
319579,884,1299479478
319579,1158,1723028765
319579,1638,2529649289
319579,1615,2489591189
319579,2723,4191971469
319579,1959,3073173048
319579,1961,3076950364
319579,2026,3184363292
319579,2328,3644627620
319579,1931,3027983744
319579,1991,3127310596
319579,2002,3145206196
319579,2003,3146698670
319579,2014,3164665169
319579,2043,3209642072
319579,2045,3213412618
319579,2053,3225759416
319579,2058,3233602827
319579,2061,3238242140
319579,2074,3258600649
319579,2080,3268532784
319579,2099,3297685509
319639,308,473230168
319639,349,543183547
319639,358,557988972
319639,360,561119125
319639,389,609955303
319639,392,613989984
319991,146,182845289
319991,165,216156469
319991,170,223415200
