run,lumi,evt
324980,1380,2531098597
324980,1671,3075035780
324980,1363,2498259314
324021,239,369907496
324021,241,373926737
324021,313,511958532
321305,239,381997275
321305,239,382360834
321305,240,383219748
321305,262,417898718
321305,266,424860945
321305,267,427137223
321305,277,442364343
321305,295,470296872
321305,295,471146803
321414,367,622561252
321414,375,636481821
321414,378,641339318
321414,390,660997103
321414,391,662196117
321414,391,663120019
321414,428,730890039
321414,450,770996259
321414,463,793788388
321414,527,905842155
321414,872,1487520872
321414,883,1504923000
321414,862,1470645972
321414,867,1478997195
321414,896,1525987302
321414,898,1529922117
321414,919,1564518057
321414,923,1569930072
322332,277,453612809
322332,313,524322606
322332,351,592980008
322332,351,594102768
322332,367,622551012
322332,369,627365943
322332,380,647711503
322332,384,655380595
323755,501,903465064
323755,514,928740257
323755,527,953223864
323755,535,969505109
323755,543,984952692
323755,545,989284420
323755,559,1015112473
323755,570,1036556110
323755,580,1056065312
323841,407,702624285
323841,413,713818464
323841,418,724303812
323841,424,736014479
323841,442,770431233
323841,443,772742861
324021,188,278712791
324021,211,319345108
321457,597,946085693
324021,374,634897755
324201,537,1049159223
324201,537,1048201582
324201,552,1077702808
324201,578,1129798316
324201,701,1364410719
320917,45,69736850
320917,52,81383048
320917,63,98514050
320917,150,244490751
320917,178,291703738
321067,134,158673893
321067,143,173413596
321067,150,184098868
321067,154,190671942
321067,158,197229588
321067,161,202904499
321067,165,208705014
321067,167,212678508
321067,177,228795592
321067,178,231142159
321067,196,259854898
321067,201,268558000
321067,202,269126435
321167,2,2566774
321167,2,2845837
321167,3,4394370
321167,32,49734359
321167,68,104135051
321414,44,45403649
321414,668,1146262090
321414,49,49007187
321414,66,78963864
321414,75,96011644
321414,87,119517779
321414,93,132753408
321414,100,146214965
321414,117,176357344
321414,117,176525999
321414,262,446602757
321414,276,468581532
321414,284,482464752
321414,298,507836160
321414,336,572051685
321414,342,581308336
321414,348,591926939
321414,362,614520710
321457,550,871063643
321457,585,926403000
323487,100,126521226
323726,19,30293739
323857,76,139521403
321457,660,1057133816
321457,668,1071429645
321917,263,479038700
321917,267,485637245
321917,271,492994512
321917,281,511100285
321917,365,663363573
321917,372,676293558
321917,377,684942273
321917,411,746169517
321917,417,757507449
322118,408,754120221
322118,410,758037757
322118,430,794348830
322118,442,817126260
322118,446,825034876
322118,468,864770727
321917,641,1170255487
321917,654,1193620247
321917,715,1304826268
321933,66,52085803
321973,750,1322024834
321973,830,1458888532
321973,1074,1870167752
322022,164,228068949
322022,173,243365486
322079,411,726534733
322179,155,214243124
322179,157,217789949
322179,159,221124126
322179,177,254543777
322179,553,954593986
322252,525,919234697
322252,525,919687144
322319,156,273106634
322322,619,1142181955
322332,490,857669362
322332,670,1182964530
322348,500,906760938
322348,502,911326927
322348,506,919544288
322348,509,924980952
322430,758,1331928578
322430,760,1335205773
322431,635,1109160629
322431,643,1123663318
322431,652,1142705607
322602,67,128038764
322633,2,2183668
