run,lumi,evt
1,482,481280
1,482,481285
1,482,481288
1,482,481290
1,482,481293
1,482,481304
1,482,481301
1,482,481297
1,482,481328
1,482,481334
1,482,481319
1,482,481347
1,482,481343
1,482,481374
1,482,481375
1,482,481358
1,482,481388
1,482,481406
1,482,481394
1,482,481436
1,482,481443
1,482,481440
1,482,481459
1,482,481460
1,482,481453
1,482,481473
1,482,481456
1,482,481469
1,482,481483
1,482,481487
1,482,481510
1,482,481515
1,482,481524
1,482,481523
1,482,481529
1,482,481525
1,482,481541
1,482,481545
1,482,481537
1,482,481546
1,482,481552
1,482,481567
1,482,481564
1,482,481554
1,482,481568
1,482,481575
1,482,481572
1,482,481583
1,482,481589
1,482,481585
1,482,481606
1,482,481613
1,482,481619
1,482,481615
1,482,481624
1,482,481620
1,482,481628
1,482,481640
1,482,481625
1,482,481664
1,482,481653
1,482,481661
1,482,481666
1,482,481670
1,482,481684
1,482,481692
1,482,481683
1,482,481695
1,482,481705
1,482,481715
1,482,481710
1,482,481722
1,482,481726
1,482,481744
1,482,481755
1,482,481757
1,482,481768
1,482,481780
1,482,481796
1,482,481823
1,482,481802
1,482,481819
1,482,481807
1,482,481830
1,482,481841
1,482,481858
1,482,481859
1,482,481848
1,482,481856
1,482,481876
1,482,481862
1,482,481875
1,482,481882
1,482,481880
1,482,481886
1,482,481900
1,482,481909
1,482,481948
1,482,481940
1,482,481961
1,482,481973
1,482,481990
1,482,481989
1,482,481985
1,482,481997
1,483,482005
1,483,482009
1,483,482003
1,483,482016
1,483,482027
1,483,482044
1,483,482050
1,483,482051
1,483,482066
1,483,482073
1,483,482096
1,483,482092
1,483,482089
1,483,482103
1,483,482112
1,483,482105
1,483,482123
1,483,482125
1,483,482120
1,483,482136
1,483,482145
1,483,482159
1,483,482170
1,483,482181
1,483,482171
1,483,482187
1,483,482190
1,483,482218
1,483,482208
1,483,482224
1,483,482234
1,483,482245
1,483,482247
1,483,482251
1,483,482278
1,483,482282
1,483,482309
1,483,482308
1,483,482324
1,483,482333
1,483,482332
1,483,482356
1,483,482369
1,483,482354
1,483,482385
1,483,482373
1,483,482386
1,483,482367
1,483,482402
1,483,482411
1,483,482414
1,483,482419
1,483,482436
1,483,482427
1,483,482432
1,483,482454
1,483,482460
1,483,482463
1,483,482478
1,483,482475
1,483,482490
1,483,482500
1,483,482520
1,483,482528
1,483,482523
1,483,482529
1,483,482549
1,483,482555
1,483,482556
1,483,482563
1,483,482581
1,483,482576
1,483,482575
1,483,482594
1,483,482597
1,483,482595
1,483,482603
1,483,482619
1,483,482632
1,483,482639
1,483,482637
1,483,482624
1,483,482646
1,483,482644
1,483,482675
1,483,482671
1,483,482701
1,483,482698
1,483,482705
1,483,482758
